dr_sealevel,dr_2k,dr_4k,dr_6k,dr_8k
1.3,1.2,1.12,1.04,0.96
1.27,1.175,1.09,1.02,0.94
1.23,1.15,1.06,0.99,0.92
1.2,1.125,1.04,0.97,0.9
1.175,1.09,1.02,0.94,0.875
1.15,1.07,0.99,0.925,0.86
1.125,1.05,0.975,0.91,0.83
1.1,1.03,0.96,0.88,0.82
1.08,1.01,0.94,0.87,0.81
1.06,0.99,0.925,0.85,0.79
1.04,0.975,0.9,0.84,0.78
1.02,0.95,0.88,0.825,0.76
1,0.94,0.87,0.8,0.74
0.98,0.92,0.85,0.78,0.73
0.96,0.9,0.83,0.775,0.715
0.94,0.88,0.82,0.76,0.7
0.925,0.87,0.8,0.74,0.69
0.91,0.85,0.78,0.73,0.68
0.89,0.83,0.775,0.72,0.675
0.88,0.82,0.765,0.71,0.67
0.86,0.81,0.76,0.7,0.66
